,cntry,leto,essround,odgovor,tvtot,rdtot,nwsptot,netuse
138,IE,2006,3,2,244,272,534,60
139,IE,2006,3,3,280,192,189,39
140,IE,2006,3,4,305,141,89,85
141,IE,2006,3,5,269,142,57,128
142,IE,2006,3,6,193,127,34,218
143,IE,2006,3,7,375,513,64,421
144,IE,2008,4,0,53,200,430,375
145,IE,2008,4,1,82,219,523,257
146,IE,2008,4,2,224,297,471,40
147,IE,2008,4,3,267,162,166,37
148,IE,2008,4,4,270,154,82,57
149,IE,2008,4,5,225,134,39,109
150,IE,2008,4,6,265,168,23,346
151,IE,2008,4,7,378,430,30,543
152,IE,2010,5,0,86,292,656,427
153,IE,2010,5,1,77,288,614,377
154,IE,2010,5,2,253,367,645,29
155,IE,2010,5,3,348,352,345,45
156,IE,2010,5,4,356,265,188,71
157,IE,2010,5,5,342,168,67,110
158,IE,2010,5,6,316,129,23,309
159,IE,2010,5,7,797,715,37,1205
160,NL,2002,1,0,38,417,420,636
161,NL,2002,1,1,80,404,684,405
162,NL,2002,1,2,270,368,836,82
163,NL,2002,1,3,322,181,262,40
164,NL,2002,1,4,400,135,96,158
165,NL,2002,1,5,331,123,36,153
166,NL,2002,1,6,340,70,10,408
167,NL,2002,1,7,580,663,17,480
168,NL,2004,2,0,34,462,384,425
169,NL,2004,2,1,76,394,560,260
170,NL,2004,2,2,236,277,618,58
171,NL,2004,2,3,267,113,199,45
172,NL,2004,2,4,311,89,75,76
173,NL,2004,2,5,279,75,22,129
174,NL,2004,2,6,235,41,12,323
175,NL,2004,2,7,441,428,8,565
176,NL,2006,3,0,47,513,457,341
177,NL,2006,3,1,87,338,566,164
178,NL,2006,3,2,265,253,576,26
179,NL,2006,3,3,282,121,182,32
180,NL,2006,3,4,311,103,57,52
181,NL,2006,3,5,262,62,25,109
182,NL,2006,3,6,265,65,10,334
183,NL,2006,3,7,370,433,15,830
184,NL,2008,4,0,47,382,369,244
185,NL,2008,4,1,93,361,581,133
186,NL,2008,4,2,232,239,527,29
187,NL,2008,4,3,286,104,187,22
188,NL,2008,4,4,305,83,60,25
189,NL,2008,4,5,254,63,29,75
190,NL,2008,4,6,222,63,10,271
191,NL,2008,4,7,335,481,14,977
192,NL,2010,5,0,50,417,467,145
193,NL,2010,5,1,73,313,540,138
194,NL,2010,5,2,212,270,520,18
195,NL,2010,5,3,264,95,164,9
196,NL,2010,5,4,293,80,81,39
197,NL,2010,5,5,247,55,24,46
198,NL,2010,5,6,238,67,13,288
199,NL,2010,5,7,449,530,17,1145
200,NO,2002,1,0,21,269,74,503
201,NO,2002,1,1,109,571,593,268
202,NO,2002,1,2,377,399,893,58
203,NO,2002,1,3,387,201,300,63
204,NO,2002,1,4,379,139,98,100
205,NO,2002,1,5,287,93,51,139
206,NO,2002,1,6,234,71,10,344
207,NO,2002,1,7,242,293,17,561
208,NO,2004,2,0,25,230,81,323
209,NO,2004,2,1,98,431,543,194
210,NO,2004,2,2,315,353,791,34
211,NO,2004,2,3,342,154,212,37
212,NO,2004,2,4,325,110,77,67
213,NO,2004,2,5,255,101,30,122
214,NO,2004,2,6,181,64,15,325
215,NO,2004,2,7,219,317,11,657
216,NO,2006,3,0,34,221,97,241
217,NO,2006,3,1,120,420,550,114
218,NO,2006,3,2,320,357,753,37
219,NO,2006,3,3,364,167,211,28
220,NO,2006,3,4,324,111,77,73
221,NO,2006,3,5,270,109,33,95
222,NO,2006,3,6,143,68,14,300
223,NO,2006,3,7,175,297,15,862
224,NO,2008,4,0,26,236,76,147
225,NO,2008,4,1,111,359,493,79
226,NO,2008,4,2,266,298,617,19
227,NO,2008,4,3,295,134,237,23
228,NO,2008,4,4,301,113,82,38
229,NO,2008,4,5,239,62,25,50
230,NO,2008,4,6,148,66,9,236
231,NO,2008,4,7,163,280,10,957
232,NO,2010,5,0,42,248,86,119
233,NO,2010,5,1,103,342,476,67
234,NO,2010,5,2,248,311,567,14
235,NO,2010,5,3,258,126,243,12
236,NO,2010,5,4,281,100,91,25
237,NO,2010,5,5,260,84,46,48
238,NO,2010,5,6,176,73,14,214
239,NO,2010,5,7,180,264,25,1049
240,PL,2002,1,0,78,462,767,1292
241,PL,2002,1,1,120,252,730,312
242,PL,2002,1,2,350,360,430,43
243,PL,2002,1,3,261,99,92,44
244,PL,2002,1,4,410,183,55,83
245,PL,2002,1,5,193,78,11,65
246,PL,2002,1,6,301,119,13,114
247,PL,2002,1,7,396,542,9,154
248,PL,2004,2,0,60,355,528,890
249,PL,2004,2,1,100,190,620,284
250,PL,2004,2,2,317,270,402,32
251,PL,2004,2,3,221,93,73,40
252,PL,2004,2,4,374,112,40,72
253,PL,2004,2,5,143,51,10,66
254,PL,2004,2,6,179,101,14,112
255,PL,2004,2,7,319,538,20,220
256,PL,2006,3,0,72,373,539,764
257,PL,2006,3,1,111,210,655,289
258,PL,2006,3,2,302,259,375,27
259,PL,2006,3,3,186,82,57,26
260,PL,2006,3,4,354,122,55,51
261,PL,2006,3,5,157,60,9,62
262,PL,2006,3,6,226,76,5,149
263,PL,2006,3,7,308,523,14,353
264,PL,2008,4,0,61,355,530,475
265,PL,2008,4,1,115,215,549,295
266,PL,2008,4,2,267,248,370,26
267,PL,2008,4,3,195,107,79,17
268,PL,2008,4,4,317,131,48,36
269,PL,2008,4,5,136,45,11,53
270,PL,2008,4,6,207,85,9,166
271,PL,2008,4,7,315,420,14,546
272,PL,2010,5,0,80,448,636,376
273,PL,2010,5,1,105,230,644,242
274,PL,2010,5,2,340,284,355,20
275,PL,2010,5,3,201,93,47,23
276,PL,2010,5,4,381,144,33,51
277,PL,2010,5,5,146,39,10,71
278,PL,2010,5,6,218,84,9,238
279,PL,2010,5,7,274,422,6,725
280,PT,2002,1,0,24,455,710,939
281,PT,2002,1,1,120,242,419,122
282,PT,2002,1,2,218,246,252,100
283,PT,2002,1,3,264,129,84,48
284,PT,2002,1,4,247,89,20,34
285,PT,2002,1,5,185,61,8,10
286,PT,2002,1,6,161,43,7,24
287,PT,2002,1,7,292,238,6,233
288,PT,2004,2,0,28,555,824,881
289,PT,2004,2,1,112,397,603,686
290,PT,2004,2,2,296,424,420,29
291,PT,2004,2,3,430,260,145,27
292,PT,2004,2,4,382,113,39,38
293,PT,2004,2,5,262,68,11,69
294,PT,2004,2,6,185,34,4,133
295,PT,2004,2,7,348,194,2,185
296,PT,2006,3,0,31,838,1074,965
297,PT,2006,3,1,135,385,570,665
298,PT,2006,3,2,389,318,387,29
299,PT,2006,3,3,373,187,107,22
300,PT,2006,3,4,336,118,31,38
301,PT,2006,3,5,232,81,13,51
302,PT,2006,3,6,225,50,6,151
303,PT,2006,3,7,491,238,27,298
304,PT,2008,4,0,46,903,1134,856
305,PT,2008,4,1,105,403,638,677
306,PT,2008,4,2,309,370,399,30
307,PT,2008,4,3,381,173,117,13
308,PT,2008,4,4,420,142,29,49
309,PT,2008,4,5,292,69,16,60
310,PT,2008,4,6,255,66,5,149
311,PT,2008,4,7,550,211,9,528
312,PT,2010,5,0,38,898,1099,773
313,PT,2010,5,1,79,334,583,542
314,PT,2010,5,2,256,327,358,19
315,PT,2010,5,3,324,144,66,23
316,PT,2010,5,4,356,106,21,29
317,PT,2010,5,5,248,49,7,45
318,PT,2010,5,6,276,44,4,146
319,PT,2010,5,7,559,210,6,570
320,SI,2002,1,0,70,179,285,322
321,SI,2002,1,1,168,258,621,650
322,SI,2002,1,2,357,308,418,41
323,SI,2002,1,3,234,124,100,39
324,SI,2002,1,4,269,95,47,81
325,SI,2002,1,5,160,93,26,69
326,SI,2002,1,6,104,74,6,154
327,SI,2002,1,7,156,387,7,161
328,SI,2004,2,0,54,160,225,270
329,SI,2004,2,1,152,236,621,536
330,SI,2004,2,2,360,250,423,43
331,SI,2004,2,3,215,104,95,30
332,SI,2004,2,4,253,91,46,75
333,SI,2004,2,5,159,89,15,60
334,SI,2004,2,6,112,70,3,164
335,SI,2004,2,7,133,438,10,260
336,SI,2006,3,0,71,184,291,205
337,SI,2006,3,1,162,267,634,521
338,SI,2006,3,2,354,254,378,24
339,SI,2006,3,3,218,112,97,19
340,SI,2006,3,4,227,103,34,54
341,SI,2006,3,5,176,75,23,57
342,SI,2006,3,6,117,54,11,160
343,SI,2006,3,7,144,423,6,435
344,SI,2008,4,0,44,172,244,186
345,SI,2008,4,1,118,225,596,342
346,SI,2008,4,2,293,215,306,23
347,SI,2008,4,3,222,98,79,18
348,SI,2008,4,4,221,100,34,39
349,SI,2008,4,5,148,64,8,53
350,SI,2008,4,6,101,52,8,140
351,SI,2008,4,7,138,358,9,480
352,SI,2010,5,0,63,233,311,205
353,SI,2010,5,1,139,247,615,324
354,SI,2010,5,2,301,231,343,15
355,SI,2010,5,3,214,72,66,13
356,SI,2010,5,4,256,100,50,36
357,SI,2010,5,5,124,40,8,52
358,SI,2010,5,6,150,63,6,120
359,SI,2010,5,7,156,414,3,637
360,ES,2002,1,0,45,587,822,1112
361,ES,2002,1,1,76,203,392,228
362,ES,2002,1,2,214,221,344,30
363,ES,2002,1,3,212,156,102,18
